"state","step","criteria","STL.STACK","knn","pls","ridge","svmLinear2","STACK","knn.1","pls.1","ridge.1","svmLinear2.1"
"amapa","6-step","MAPE",3.27963811045567,NA,NA,NA,NA,1.05985910456098,0.645744278578087,0.933715546990189,0.932814834344447,1.42343454030879
"amapa","6-step","RMSE",153.987954228989,185.307167133899,157.190190487119,162.446187745812,156.504066114643,130.225828770619,223.623627686128,169.845417893152,170.478060805516,141.105968519406
"amapa","7-step","MAE",55.1078270425399,69.4947110844263,102.153563351613,99.3948381113447,61.935522915032,110.541608533512,178.5,160.298809679603,160.157569465152,69.2744789343739
"amapa","7-step","MAPE",0.906297725157619,NA,NA,NA,NA,1.03833735679349,0.757267820461621,0.989600398050807,0.987846282541463,1.13639569906956
"amapa","7-step","RMSE",119.422481820038,174.538454404812,155.907093009732,156.484424797779,150.974191695027,181.050135768137,308.565931178893,178.182048649451,178.503880868922,133.344534801541
"amapa","8-step","MAE",81.246710203588,61.4080936625417,115.104017620237,119.360156685766,67.3657650771996,143.67693862319,161.666666666667,180.555805092514,181.234619622633,99.8236542848262
"amapa","8-step","MAPE",2.55185868763577,NA,NA,NA,NA,0.719759698435913,0.697248984168417,1.03807715484301,1.05368721149061,1.46392114063292
"amapa","8-step","RMSE",221.760638701061,166.74495570024,169.624604876906,176.868083907827,148.628816034169,285.164478832737,285.887155298622,213.039282965327,215.286459676843,164.807432280713
"amapa","9-step","MAE",56.6423262792329,70.5674356519459,97.4471020984862,96.3484314562382,55.1777894573505,85.5580122172832,93.9469696969697,137.961930320163,141.010636908826,71.4886834609346
"amapa","9-step","MAPE",1.31538963850452,NA,NA,NA,NA,0.809003434653651,0.675391108694438,Inf,Inf,Inf
"amapa","9-step","RMSE",135.049538180172,188.248436070761,142.571284767605,143.270046523364,140.063006481807,143.865112407641,158.239054865885,166.384771213465,169.634413186139,140.390776728263
"amapa","10-step","MAE",79.1535884253681,95.6319944207593,94.2104148127672,90.4227241237153,52.7215507219828,88.9806033310791,86.5227272727273,145.628079455844,148.717102445215,72.4157110369077
